SpeciesID,CommonName,ScientificName,ConservationStatus
489,Marabou stork,Leptoptilos crumeniferus,Least Concern
490,Snow goose,Anser caerulescens,Near Threatened
491,"Mynah, indian",Acridotheres tristis,Vulnerable
492,Grey phalarope,Phalaropus fulicarius,Vulnerable
493,"Bleu, blue-breasted cordon",Uraeginthus angolensis,Critically Endangered
494,Barasingha deer,Cervus duvauceli,Extinct in the Wild
495,Spotted hyena,Crocuta crocuta,Endangered
496,"Monitor, two-banded",Varanus salvator,Vulnerable
497,Bottle-nose dolphin,Tursiops truncatus,Endangered
498,Indian peacock,Pavo cristatus,Extinct in the Wild
499,"Turkey, australian brush",Alectura lathami,Least Concern
500,"Heron, gray",Ardea cinerea,Near Threatened
